folder_l,data_index,matrix_type,channel,target_uW,target_W,effective_target_W,n_points,mean_W,std_W,min_W,max_W,file_name,file_path
6,4,calib,3,0.02,2e-08,2e-08,63,2e-08,1.091063154896595e-09,1.7873854857050434e-08,2.2215335001696354e-08,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT04.CSV
6,5,calib,4,0.572,5.719999999999999e-07,5.719999999999999e-07,102,5.719999999999999e-07,1.4237982363983449e-08,5.506232648022261e-07,6.001580836987086e-07,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT05.CSV
6,6,calib,5,0.043,4.2999999999999995e-08,4.2999999999999995e-08,100,4.2999999999999995e-08,1.6365680210129996e-09,4.035114746774148e-08,4.605658449904482e-08,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT06.CSV
6,7,calib,6,24.9,2.49e-05,2.49e-05,71,2.49e-05,2.1682140897539299e-07,2.4391185185387418e-05,2.5314265975510356e-05,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT07.CSV
6,8,calib,7,0.175,1.75e-07,1.75e-07,97,1.75e-07,1.0858791145169373e-09,1.732737920265987e-07,1.7696582581791614e-07,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT08.CSV
6,9,calib,8,0.326,3.26e-07,3.26e-07,66,3.26e-07,3.754411561225327e-09,3.1956532559590047e-07,3.326066986680629e-07,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT09.CSV
6,10,full,0,0.003,3e-09,3e-09,109,3e-09,2.1886599869832714e-10,2.6328632056917782e-09,3.391445202883576e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT10.CSV
6,11,full,1,0.04,4e-08,4e-08,97,4e-08,8.268620915578454e-10,3.8496734377848036e-08,4.169898182220774e-08,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT11.CSV
6,12,full,2,0.028,2.8e-08,2.8e-08,98,2.8e-08,5.902018114734166e-10,2.6626329038158304e-08,2.884247593290702e-08,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT12.CSV
6,13,full,3,0.011,1.1e-08,1.1e-08,84,1.1e-08,5.006826670395494e-10,1.0106114569103866e-08,1.1944824739282982e-08,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT13.CSV
6,14,full,4,0.03,3e-08,3e-08,75,3e-08,1.0177316369950086e-09,2.8045606148816342e-08,3.2202530106983626e-08,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT14.CSV
6,15,full,5,0.005,5e-09,5e-09,63,5e-09,8.14119760268524e-11,4.798772962032571e-09,5.108179128807928e-09,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT15.CSV
6,16,full,6,0.531,5.31e-07,5.31e-07,95,5.31e-07,5.06218075489587e-09,5.22526124328326e-07,5.416770998404807e-07,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT16.CSV
6,17,full,7,0.002,2e-09,2e-09,75,2e-09,1.5060095870346893e-10,1.7428372717680427e-09,2.2257672799868347e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT17.CSV
6,18,full,8,0.004,4e-09,4e-09,99,4e-09,2.2342585474838354e-10,3.692453679812555e-09,4.419812925503244e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=6\DAT18.CSV
7,1,calib,0,0.0,0.0,1.1639439239482984e-10,64,1.1639439239482984e-10,7.449686402824495e-12,1.0101110107460258e-10,1.2749573083939365e-10,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT01.CSV
7,2,calib,1,0.0,0.0,2.0229001073307961e-10,88,2.0229001073307961e-10,2.2631015725835977e-11,1.672148362138365e-10,2.5266218379534306e-10,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT02.CSV
7,3,calib,2,0.001,1e-09,1e-09,96,1e-09,1.0676219677549193e-10,8.133801868889544e-10,1.1920513485871117e-09,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT03.CSV
7,4,calib,3,0.002,2e-09,2e-09,64,2e-09,7.341008458364502e-11,1.860343401215547e-09,2.1310592368128353e-09,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT04.CSV
7,5,calib,4,0.016,1.6e-08,1.6e-08,92,1.6e-08,4.195784569267254e-10,1.5209263735266995e-08,1.6642906657442286e-08,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT05.CSV
7,6,calib,5,0.619,6.189999999999999e-07,6.189999999999999e-07,77,6.189999999999999e-07,1.61706315068811e-08,5.898124720131973e-07,6.523804367397302e-07,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT06.CSV
7,7,calib,6,0.122,1.2199999999999998e-07,1.2199999999999998e-07,99,1.2199999999999998e-07,2.868325907215636e-09,1.1694295032555776e-07,1.269858543827492e-07,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT07.CSV
7,8,calib,7,18.6,1.86e-05,1.86e-05,93,1.86e-05,4.035884403691622e-07,1.7672022389653584e-05,1.939984582689997e-05,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT08.CSV
7,9,calib,8,0.103,1.03e-07,1.03e-07,93,1.03e-07,3.342473233792354e-10,1.0229093025295446e-07,1.0365778360087328e-07,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT09.CSV
7,10,full,0,0.003,3e-09,3e-09,74,3e-09,1.1309283147928146e-10,2.8089532019193854e-09,3.2049120642155257e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT10.CSV
7,11,full,1,0.006,6e-09,6e-09,91,5.999999999999999e-09,6.295004076519132e-11,5.860832764128846e-09,6.1083361548933735e-09,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT11.CSV
7,12,full,2,0.034,3.4e-08,3.4e-08,77,3.4e-08,9.201924635537368e-10,3.230484159412317e-08,3.6548228998547836e-08,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT12.CSV
7,13,full,3,0.021,2.1e-08,2.1e-08,76,2.1e-08,6.033907061189507e-10,1.960589144354523e-08,2.209864007761919e-08,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT13.CSV
7,14,full,4,0.009,9e-09,9e-09,107,9e-09,3.030796028273836e-10,8.366304817571447e-09,9.625448799935577e-09,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT14.CSV
7,15,full,5,0.028,2.8e-08,2.8e-08,70,2.8e-08,7.097453537941173e-10,2.6971210260799404e-08,2.9627059973283665e-08,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT15.CSV
7,16,full,6,0.003,3e-09,3e-09,108,3e-09,3.349566628133037e-10,2.4226168892270742e-09,3.65103926784399e-09,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT16.CSV
7,17,full,7,0.367,3.67e-07,3.67e-07,98,3.67e-07,1.0992895965621194e-09,3.6472466421881405e-07,3.691635244575804e-07,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT17.CSV
7,18,full,8,0.002,2e-09,2e-09,61,2e-09,1.0275999193766496e-10,1.804747383921018e-09,2.15427092113284e-09,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=7\DAT18.CSV
8,1,calib,0,0.0,0.0,1.4799385416917388e-10,86,1.4799385416917388e-10,9.357448768188365e-12,1.3067476768003662e-10,1.6687567728966588e-10,DAT01.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT01.CSV
8,2,calib,1,0.0,0.0,1.5865234711278882e-10,105,1.5865234711278882e-10,1.3392160225187024e-11,1.3157585012437187e-10,1.8659464574617604e-10,DAT02.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT02.CSV
8,3,calib,2,0.0,0.0,2.86013178471234e-10,102,2.86013178471234e-10,2.7703483528487392e-11,2.338146946164745e-10,3.395930608196004e-10,DAT03.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT03.CSV
8,4,calib,3,0.001,1e-09,1e-09,93,1e-09,4.304193759763884e-11,9.183480651227979e-10,1.0756928094550722e-09,DAT04.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT04.CSV
8,5,calib,4,0.003,3e-09,3e-09,97,3e-09,2.398074221266572e-10,2.5430951559621025e-09,3.524778597271282e-09,DAT05.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT05.CSV
8,6,calib,5,0.026,2.5999999999999998e-08,2.5999999999999998e-08,109,2.5999999999999998e-08,6.007881172628336e-10,2.4966854491685302e-08,2.717818910424034e-08,DAT06.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT06.CSV
8,7,calib,6,0.555,5.55e-07,5.55e-07,95,5.55e-07,4.403857350146707e-09,5.463980018629515e-07,5.626631902787538e-07,DAT07.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT07.CSV
8,8,calib,7,0.723,7.229999999999999e-07,7.229999999999999e-07,62,7.229999999999999e-07,1.3987320546073905e-08,6.979420089158922e-07,7.467404576020241e-07,DAT08.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT08.CSV
8,9,calib,8,13.3,1.33e-05,1.33e-05,103,1.3299999999999998e-05,2.756320236058933e-07,1.277170768239707e-05,1.3760778200492245e-05,DAT09.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT09.CSV
8,10,full,0,0.006,6e-09,6e-09,71,6e-09,1.2281236114151124e-10,5.8161904177602e-09,6.1670398346124126e-09,DAT10.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT10.CSV
8,11,full,1,0.005,5e-09,5e-09,105,4.999999999999999e-09,2.0792281400206681e-10,4.534974155951927e-09,5.392273067850831e-09,DAT11.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT11.CSV
8,12,full,2,0.004,4e-09,4e-09,90,4e-09,4.5796512316705645e-10,3.1886575649701663e-09,5.010429701856783e-09,DAT12.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT12.CSV
8,13,full,3,0.025,2.5e-08,2.5e-08,100,2.5e-08,1.0535415920082838e-09,2.3478289185957133e-08,2.7045010843066912e-08,DAT13.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT13.CSV
8,14,full,4,0.018,1.8e-08,1.8e-08,71,1.8e-08,5.696082034616741e-10,1.702531054213347e-08,1.930071635165977e-08,DAT14.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT14.CSV
8,15,full,5,0.006,6e-09,6e-09,71,6e-09,2.6002981057254703e-10,5.511546791877458e-09,6.553287136110039e-09,DAT15.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT15.CSV
8,16,full,6,0.029,2.9e-08,2.9e-08,110,2.8999999999999998e-08,1.0017356331851626e-09,2.695295103883938e-08,3.0978203838363495e-08,DAT16.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT16.CSV
8,17,full,7,0.004,4e-09,4e-09,86,4e-09,3.5663881443524535e-10,3.4369509550913704e-09,4.95309619144024e-09,DAT17.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT17.CSV
8,18,full,8,0.322,3.22e-07,3.22e-07,110,3.2199999999999995e-07,5.117291286613215e-09,3.1207000909014293e-07,3.3024680360533515e-07,DAT18.CSV,D:\自制软件\thesis\数据内容\对比度数据\新3\2\连续测量\l=8\DAT18.CSV
